condition,rust_variant,python_exception,cpp_exception
Bad or expired credentials,Auth,AuthenticationError / InvalidCredentialsError,thetadatadx::AuthenticationError / thetadatadx::InvalidCredentialsError
Endpoint needs a higher tier,Grpc (permission),SubscriptionError,thetadatadx::SubscriptionError
Too many requests in flight upstream,Grpc (resource exhausted),RateLimitError,thetadatadx::RateLimitError
Request returned no rows,NoData,NoDataFoundError,thetadatadx::Error (kind == NoData)
Per-request deadline elapsed,Timeout,TimeoutError,thetadatadx::Error (kind == Timeout)
Connection / TLS / protocol fault,Transport,NetworkError,thetadatadx::NetworkError
Response shape unexpected,Decode,SchemaMismatchError,thetadatadx::SchemaMismatchError
Streaming session fault,Stream,StreamError,thetadatadx::StreamError
Invalid parameters / configuration,Config,ThetaDataError,thetadatadx::ThetaDataError
